title,duration,genre,rating,description,stars,votes
Untitled Kanye West Documentary,93,"Documentary, Music",8.6,"Kanye hustles to establish his voice at the label. When a car crash and broken jaw threaten it all, the unstoppable artist turns pain into platinum.","Coodie, Chike Ozah, | ,     Stars:, Ye, Kevin Bacon, Yasiin Bey, Big V","1,041"
Scream: The TV Series,45,"Comedy, Crime, Drama",7.1,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,"Willa Fitzgerald, Bex Taylor-Klaus, John Karna, Carlson Young","41,077"
Z Nation,44,"Action, Comedy, Drama",6.7,"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.","Russell Hodgkinson, Nat Zang, Keith Allan, Kellita Smith","36,710"
Escape Plan,115,"Action, Thriller",6.7,"When a structural-security authority finds himself set up and incarcerated in the worlds most secret and secure prison, he has to use his skills to escape with help from the inside.","Mikael Håfström, | ,     Stars:, Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent DOnofrio","242,838"
Hellbound,150,"Crime, Drama, Fantasy",6.6,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Yoo Ah-in, Kim Hyun-joo, Jeong Park, Jin-ah Won","23,866"
Mank,131,"Biography, Comedy, Drama",6.8,1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,"David Fincher, | ,     Stars:, Gary Oldman, Amanda Seyfried, Lily Collins, Tom Pelphrey","74,186"
Sacred Games,50,"Action, Crime, Drama",8.5,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi, Elnaaz Norouzi","87,403"
In the Shadow of the Moon,115,"Action, Crime, Mystery",6.2,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,"Jim Mickle, | ,     Stars:, Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C. Hall","53,157"
Are You Afraid of the Dark?,30,"Drama, Fantasy, Horror",8.2,"A group of teenagers get together in the woods, and tell ghost stories.","Ross Hull, Daniel DeSanto, Raine Pare-Coull, Jodie Resther","15,062"
News of the World,118,"Action, Adventure, Drama",6.8,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","Paul Greengrass, | ,     Stars:, Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson","86,396"
The Meyerowitz Stories,112,"Comedy, Drama",6.9,An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,"Noah Baumbach, | ,     Stars:, Adam Sandler, Grace Van Patten, Dustin Hoffman, Elizabeth Marvel","49,217"
The Windsors,30,Comedy,7.1,Comedy soap opera re-imagining the lives of the British Royal Family as you have never seen them before.,"Celeste Dring, Louise Ford, Hugh Skinner, Ellie White","2,783"
Hemlock Grove,46,"Drama, Fantasy, Horror",7,"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.","Famke Janssen, Bill Skarsgård, Landon Liboiron, Joel de la Fuente","40,283"
The Mauritanian,129,"Biography, Drama, Thriller",7.4,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,"Kevin Macdonald, | ,     Stars:, Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud, Mohamed Yeslem Mousse","51,115"
Royalteen,107,"Drama, Romance",5.3,"Follows prince Karl Johan and newcomer Lena, who have feelings for each other but are aware that their relationship might put them in an impossible situation, while he has to carry a nation on his shoulders, she carries lies on hers.","Per-Olav Sørensen, Emilie Beck, | ,     Stars:, Ines Høysæter Asserson, Mathias Storhøi, Elli Rhiannon Müller Osborne, Veslemøy Mørkrid","1,566"
Kota Factory,45,"Comedy, Drama",9.1,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, Kota Factory is TVFs latest original. Indias first Black and White show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan","71,138"
Honest Thief,99,"Action, Thriller",6,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","Mark Williams, | ,     Stars:, Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan","50,172"
How It Ends,113,"Action, Drama, Mystery",5,"In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.","David M. Rosenthal, | ,     Stars:, Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker","53,299"
Triple 9,115,"Action, Crime, Thriller",6.3,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"John Hillcoat, | ,     Stars:, Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul","72,474"
Too Hot to Handle,40,"Game-Show, Reality-TV, Romance",4.7,"On the shores of paradise, gorgeous singles meet andgle. But theres a twist. To win a $100,000 grand prize, theyll have to give up sex.","Desiree Burch, Melinda Melrose, Carly Lawrence, Chase de Moor","12,484"
Pain Hustlers,,"Crime, Drama",,Liza dreams of a better life for her and her daughter so she gets a job at a bankrupt pharmacy and Lizas guts catapult the company and her into the high life not knowing that she will soon be in the middle of a criminal conspiracy.,"David Yates, | ,     Stars:, Chris Evans, Emily Blunt, Catherine OHara, Andy Garcia",
My Name,50,"Action, Crime, Drama",7.8,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her fathers death.,"Hee-soon Park, Ahn Bo-Hyun, Han So-hee, Kim Sang-Ho","20,967"
Parallel Mothers,123,Drama,7.1,The story of two mothers who bond in unexpected way after giving birth the same day.,"Pedro Almodóvar, | ,     Stars:, Penélope Cruz, Milena Smit, Israel Elejalde, Aitana Sánchez-Gijón","28,112"
Clickbait,368,"Crime, Drama, Mystery",7.2,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.","Zoe Kazan, Betty Gabriel, Phoenix Raei, Adrian Grenier","52,589"
The Little Mermaid,85,"Adventure, Drama, Fantasy",4.2,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,"Blake Harris, Chris Bouchard, | ,     Stars:, William Moseley, Poppy Drayton, Loreto Peralta, Armando Gutierrez","9,050"
The Innocent,467,"Crime, Drama, Mystery",7.8,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.","Mario Casas, Xavi Sáez, Santi Pons, Sam Feuer","30,505"
Till Death,88,Thriller,5.8,"A woman is left handcuffed to her dead husband as part of a sick revenge plot. Unable to unshackle, she has to survive as two killers arrive to finish her off.","S.K. Dale, | ,     Stars:, Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth","21,221"
Criminal: UK,43,"Crime, Drama, Mystery",7.6,"A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.","Katherine Kelly, Lee Ingleby, Rochenda Sandall, Shubham Saraf","18,693"
Master of None,30,"Comedy, Drama",8.2,"The personal and professional life of Dev, a 30-year-old actor in New York.","Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells","73,214"
Knightfall,60,"Action, Adventure, Drama",6.8,A look at the final days of the Knights Templar during the 14th century.,"Tom Cullen, Pádraic Delaney, Simon Merrells, Julian Ovenden","20,356"
The Babysitter: Killer Queen,101,"Comedy, Horror",5.8,"Two years after Cole survived a satanic blood cult, hes living another nightmare: high school. And the demons from his past? Still making his life hell.","McG, | ,     Stars:, Judah Lewis, Samara Weaving, Jenna Ortega, Emily Alyn Lind","39,725"
The Kings Affection,,"Drama, Romance",7.9,"The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.","Park Eun-bin, Kim Ro Woon, Nam Yoon-Su, Byungchan","3,202"
Easy,30,Comedy,6.9,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.","Michael Chernus, Jane Adams, Elizabeth Reaser, Jacqueline Toboni","13,814"
Party of Five,60,"Drama, Family",6.8,Five siblings raise each other following their parents untimely deaths.,"Matthew Fox, Scott Wolf, Neve Campbell, Lacey Chabert","10,431"
Living with Yourself,26,"Comedy, Drama, Sci-Fi",7.2,"An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that hes been replaced by a new and improved version of himself.","Paul Rudd, Aisling Bea, Ali Akbar Sepahi, Desmin Borges","31,253"
The Last Letter from Your Lover,110,"Drama, Romance",6.7,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"Augustine Frizzell, | ,     Stars:, Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones","17,875"
Jupiters Legacy,56,"Action, Adventure, Drama",6.7,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.","Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton","38,387"
Tokyo Revengers,24,"Animation, Action, Drama",8.1,"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.","Griffin Puatu, Darren OHare, Tatsuhisa Suzuki, Yu Hayashi","15,752"
Sword Art Online,24,"Animation, Action, Adventure",7.6,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","Yoshitsugu Matsuoka, Haruka Tomatsu, Bryce Papenbrook, Cherami Leigh","45,397"
Okja,120,"Action, Adventure, Drama",7.3,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","Bong Joon Ho, | ,     Stars:, Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal","121,183"
Another Life,43,"Adventure, Drama, Mystery",5.2,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"Katee Sackhoff, Samuel Anderson, A.J. Rivera, JayR Tinaco","35,855"
The Musketeers,55,"Adventure, Drama",7.8,Set on the streets of 17th-century ParisThe Musketeers gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country.,"Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles","22,376"
MILF,101,Comedy,4.8,Three best friends in their forties start a relationship with younger men while on vacation.,"Axelle Laffont, | ,     Stars:, Marie-Josée Croze, Virginie Ledoyen, Axelle Laffont, Waël Sersoub","6,369"
Steins;Gate,24,"Animation, Comedy, Drama",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano, Asami Imai, Kana Hanazawa, Ashly Burch","61,150"
Roma,135,Drama,7.7,A year in the life of a middle-class familys maid in Mexico City in the early 1970s.,"Alfonso Cuarón, | ,     Stars:, Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta","157,396"
The Thundermans,23,"Action, Comedy, Drama",5.6,"These siblings with superpowers might be twins, but they are very different indeed.","Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez","5,668"
Homefront,100,"Action, Crime, Thriller",6.5,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","Gary Fleder, | ,     Stars:, Jason Statham, James Franco, Winona Ryder, Kate Bosworth","120,729"
The Politician,42,"Comedy, Drama",7.5,"Payton Hobart, a student from Santa Barbara, has known since age seven that hes going to be President of the United States. But first hell have to navigate the most treacherous political landscape of all: Saint Sebastian High School.","Ben Platt, Zoey Deutch, Lucy Boynton, Julia Schlaepfer","22,532"
The Guernsey Literary and Potato Peel Pie Society,124,"Drama, Romance, War",7.3,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.","Mike Newell, | ,     Stars:, Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson","46,544"
Cosmos: A Spacetime Odyssey,557,Documentary,9.3,An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson, Christopher Emerson, Keythe Farley, Piotr Michael","121,400"
The Hand of God,130,Drama,7.3,"In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker.","Paolo Sorrentino, | ,     Stars:, Filippo Scotti, Toni Servillo, Teresa Saponangelo, Marlon Joubert","41,588"
The Dig,112,"Biography, Drama, History",7.1,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,"Simon Stone, | ,     Stars:, Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn","74,270"
The Ten Commandments,220,"Adventure, Drama, Family",7.9,"Moses, raised as a prince of Egypt in the Pharaohs household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.","Cecil B. DeMille, | ,     Stars:, Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson","71,119"
Hotel Mumbai,123,"Action, Drama, History",7.6,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,"Anthony Maras, | ,     Stars:, Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher","63,979"
Southpaw,124,"Action, Crime, Drama",7.3,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.","Antoine Fuqua, | ,     Stars:, Jake Gyllenhaal, Rachel McAdams, Oona Laurence, Forest Whitaker","236,533"
Safe,356,"Crime, Drama, Mystery",7.2,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.","Michael C. Hall, Amy James-Kelly, Amanda Abbington, Freddie Thorp","43,443"
Twenty Five Twenty One,70,"Drama, Romance",8.6,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.","Nam Joo-hyuk, Kim Ji-yeon, Choi Hyun-wook, Lee Joo-myung","6,849"
Young Guns II,104,"Action, Western",6.5,"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.","Geoff Murphy, | ,     Stars:, Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater","36,404"
Flower of Evil,70,"Crime, Mystery, Romance",8.7,"Flower of Evil is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past.","Lee Joon-Gi, Moon Chae-Won, Seo Hyun-woo, Choi Dae-hoon","7,700"
Maggie,95,"Drama, Horror, Sci-Fi",5.6,"A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.","Henry Hobson, | ,     Stars:, Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Laura Cayouette","44,549"
Once Upon a Small Town,,"Drama, Romance",8.5,"A city veterinarian moves to the countryside where he meets a policewoman, a town insider with a friendly secret.","Young Woo Chu, Jung Suk-yong, Na Chul, Baek Sung-Chul",104
Salem,60,"Drama, Fantasy, Horror",7.1,Supernatural horror loosely based on Salems 17th century witch trials.,"Janet Montgomery, Shane West, Seth Gabel, Tamzin Merchant","23,955"
Revenge,108,"Action, Horror, Thriller",6.4,"Never take your mistress on an annual guys getaway, especially one devoted to hunting - a violent lesson for three wealthy married men.","Coralie Fargeat, | ,     Stars:, Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède","43,575"
Pixels,105,"Action, Comedy, Fantasy",5.6,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","Chris Columbus, | ,     Stars:, Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage","144,672"
Step Up,104,"Crime, Drama, Music",6.5,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.","Anne Fletcher, | ,     Stars:, Channing Tatum, Jenna Dewan, Damaine Radcliff, DeShawn Washington","119,288"
She,,"Crime, Drama",6.4,An undercover assignment to expose a drug ring becomes a timid Mumbai constables road to empowerment as she realizes her dormant sexualitys potential.,"Aditi Sudhir Pohankar, Vishwas Kini, Shivani Rangole, Dawood Khan","5,390"
Guardian: The Lonely and Great God,120,"Comedy, Drama, Fantasy",8.6,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na","20,760"
Pose,60,Drama,8.6,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.","Michaela Jaé (MJ) Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel","29,019"
Tommy Boy,97,"Adventure, Comedy",7.1,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.","Peter Segal, | ,     Stars:, Chris Farley, David Spade, Brian Dennehy, Bo Derek","87,921"
ZeroZeroZero,60,"Crime, Drama, Thriller",8.2,"A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean.","Andrea Riseborough, Dane DeHaan, Giuseppe De Domenico, Harold Torres","25,048"
Gypsy,51,"Drama, Thriller",6.8,Therapist Jean Holloway becomes too immersed in the lives of her patients.,"Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman","16,552"
The Challenge,60,"Adventure, Game-Show, Reality-TV",7.8,Reality television alumni and others compete to win cash prizes.,"T.J. Lavin, Chris C.T. TamburelloJohnny Bananas Devenanzio, Aneesa Ferreira","3,454"
I Am All Girls,107,"Crime, Drama, Mystery",5.9,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,"Donovan Marsh, | ,     Stars:, Erica Wessels, Hlubi Mboya, Leshego Molokwane, Nomvelo Makhanya","6,139"
Dark Places,113,"Crime, Drama, Mystery",6.2,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.","Gilles Paquet-Brenner, | ,     Stars:, Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz","45,465"
Mushoku Tensei: Jobless Reincarnation,24,"Animation, Action, Adventure",8.4,"A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure.","Yumi Uchiyama, Tomokazu Sugita, Amber Lee Connors, Ai Kakuma","10,155"
Jaws 2,116,"Adventure, Horror, Thriller",5.8,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,"Jeannot Szwarc, | ,     Stars:, Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo","78,737"
Hollywood,347,"Drama, History",7.5,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,"David Corenswet, Darren Criss, Laura Harrier, Joe Mantello","36,652"
Kaguya-sama: Love is War,24,"Animation, Comedy, Romance",8.6,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama","13,237"
Jamtara: Sabka Number Ayega,29,Crime,7.3,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.","Amit Sial, Sparsh Srivastav, Monika Panwar, Anshuman Pushkar","6,557"
Running with the Devil: The Wild World of John McAfee,105,"Documentary, Crime",5.9,Life and death of software pioneer John McAfee who developed the software: McAfee Antivirus.,"Charlie Russell, | ,     Stars:, Dean Barrow, Rocco Castoro, Neil Cavuto, Janice Dyson","2,551"
Blood Red Sky,121,"Action, Adventure, Drama",6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"Peter Thorwarth, | ,     Stars:, Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti","48,309"
Selling Sunset,30,Reality-TV,6.5,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,"Mary Fitzgerald, Chrishell Stause, Christine Quinn, Brett Oppenheim","6,584"
The Lucky One,101,"Drama, Mystery, Romance",6.4,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,"Scott Hicks, | ,     Stars:, Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart","108,807"
F Is for Family,30,"Animation, Comedy, Drama",8,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.","Bill Burr, Laura Dern, Justin Long, Debi Derryberry","37,225"
Stowaway,116,"Adventure, Sci-Fi, Thriller",5.6,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,"Joe Penna, | ,     Stars:, Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette","46,158"
Dirk Gentlys Holistic Detective Agency,60,"Action, Adventure, Comedy",8.2,Holistic detective Dirk Gently investigates cases involving the supernatural.,"Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete","51,064"
Formula 1: Drive to Survive,40,"Documentary, Sport",8.6,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Will Buxton, Jack Nicholls, Lewis Hamilton, Charles Leclerc","39,632"
Apostle,130,"Drama, Fantasy, Horror",6.3,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.","Gareth Evans, | ,     Stars:, Dan Stevens, Richard Elfyn, Paul Higgins, Bill Milner","52,870"
CHIPS,100,"Action, Comedy, Crime",6,An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked cops.,"Dax Shepard, | ,     Stars:, Michael Peña, Dax Shepard, Vincent DOnofrio, Rosa Salazar","48,181"
The Protector,40,"Action, Fantasy, Sci-Fi",6.5,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu","34,809"
Rise of the Teenage Mutant Ninja Turtles: The Movie,82,"Animation, Action, Adventure",5.9,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.","Andy Suriano, Ant Ward, | ,     Stars:, Kat Graham, Haley Joel Osment, Ben Schwartz, Toks Olagundoye","3,955"
Finding Dory,97,"Animation, Adventure, Comedy",7.3,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,"Andrew Stanton, Angus MacLane, | ,     Stars:, Ellen DeGeneres, Albert Brooks, Ed ONeill, Kaitlin Olson","274,280"
The Next Three Days,133,"Action, Crime, Drama",7.3,A married couples life is turned upside down when the wife is accused of a murder.,"Paul Haggis, | ,     Stars:, Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie","197,126"
Human Resources,30,"Animation, Comedy, Romance",7.2,A workplace comedy set in the world of the monsters from Big Mouth.,"Aidy Bryant, Randall Park, Keke Palmer, David Thewlis","6,188"
101 Dalmatians,103,"Adventure, Comedy, Crime",5.7,An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.,"Stephen Herek, | ,     Stars:, Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","111,407"
Desperado,104,"Action, Crime, Thriller",7.1,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"Robert Rodriguez, | ,     Stars:, Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin","186,134"
Vivo,95,"Animation, Adventure, Comedy",6.6,"Vivo, Sony Pictures Animations first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation.","Kirk DeMicco, Brandon Jeffords, | ,     Stars:, Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos González","18,809"
Deepwater Horizon,107,"Action, Drama, History",7.1,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","Peter Berg, | ,     Stars:, Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","168,678"
Goosebumps,22,"Fantasy, Horror, Mystery",7.6,A series of scary anthology stories based on the childrens books by R.L. Stine. Series one was hosted by R.L. Stine for twelve episodes.,"R.L. Stine, Kathryn Short, Cody Jones, Scott Wickware","13,649"
Out of the Furnace,116,"Action, Crime, Drama",6.7,"When Rodney Baze mysteriously disappears and law enforcement doesnt follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.","Scott Cooper, | ,     Stars:, Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson","116,319"
The Promised Neverland,23,"Animation, Action, Adventure",8.3,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.","Sumire Morohoshi, Mariya Ise, Shinei Ueki, Lynn","37,094"
Everything Sucks!,30,"Comedy, Drama",7.5,"In 1990s Oregon, members of a high school A/V club clash with the drama club.","Jahi DiAllo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako","19,872"
Inside thed of a Cat,67,Documentary,6.9,Cat experts dive into thed of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,"Andy Mitchell, | ,     Stars:, Neil Wilson, Bruce Kornriech, Kristyn Vitale, Saho Takagi","3,395"
The Defeated,45,"Drama, History, Thriller",7,Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,"Taylor Kitsch, Michael C. Hall, Logan Marshall-Green, Nina Hoss","6,344"
The Ugly Truth,96,"Comedy, Romance",6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,"Robert Luketic, | ,     Stars:, Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter","219,132"
The Suite Life of Zack & Cody,30,"Comedy, Family",6.5,Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.,"Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale","36,629"
Nanatsu no taizai,24,"Animation, Action, Adventure",7.9,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didnt commit and went on a quest to vindicate themselves.","Bryce Papenbrook, Erika Harlacher, Max Mittelman, Cristina Valenzuela","31,725"
Alias Grace,267,"Biography, Crime, Drama",7.7,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity.","Sarah Gadon, Edward Holcroft, Rebecca Liddiard, Zachary Levi","32,897"
The DUFF,101,"Comedy, Romance",6.4,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","Ari Sandel, | ,     Stars:, Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney","94,704"
Toscana,90,"Drama, Romance",5.7,"When a Danish chef travels to Tuscany to sell his fathers business, he meets a local woman who inspires him to rethink his approach to life and love.","Mehdi Avaz, | ,     Stars:Cristiana DellAnna, Brian Flaccus, Ghita Nørby, Nancy Linari","6,917"
